date,year,quarter,month,day,day_of_week,is_weekend
2015-01-03,2015,1,1,3,Saturday,True
2015-01-04,2015,1,1,4,Sunday,True
2015-01-05,2015,1,1,5,Monday,False
2015-01-06,2015,1,1,6,Tuesday,False
2015-01-07,2015,1,1,7,Wednesday,False
2015-01-09,2015,1,1,9,Friday,False
2015-01-10,2015,1,1,10,Saturday,True
2015-01-11,2015,1,1,11,Sunday,True
2015-01-13,2015,1,1,13,Tuesday,False
2015-01-14,2015,1,1,14,Wednesday,False
2015-01-15,2015,1,1,15,Thursday,False
2015-01-16,2015,1,1,16,Friday,False
2015-01-18,2015,1,1,18,Sunday,True
2015-01-19,2015,1,1,19,Monday,False
2015-01-20,2015,1,1,20,Tuesday,False
2015-01-21,2015,1,1,21,Wednesday,False
2015-01-23,2015,1,1,23,Friday,False
2015-01-26,2015,1,1,26,Monday,False
2015-01-27,2015,1,1,27,Tuesday,False
2015-01-28,2015,1,1,28,Wednesday,False
2015-01-30,2015,1,1,30,Friday,False
2015-01-31,2015,1,1,31,Saturday,True
2015-02-01,2015,1,2,1,Sunday,True
2015-02-02,2015,1,2,2,Monday,False
2015-02-03,2015,1,2,3,Tuesday,False
2015-02-04,2015,1,2,4,Wednesday,False
2015-02-06,2015,1,2,6,Friday,False
2015-02-07,2015,1,2,7,Saturday,True
2015-02-08,2015,1,2,8,Sunday,True
2015-02-11,2015,1,2,11,Wednesday,False
2015-02-12,2015,1,2,12,Thursday,False
2015-02-14,2015,1,2,14,Saturday,True
2015-02-15,2015,1,2,15,Sunday,True
2015-02-16,2015,1,2,16,Monday,False
2015-02-17,2015,1,2,17,Tuesday,False
2015-02-18,2015,1,2,18,Wednesday,False
2015-02-20,2015,1,2,20,Friday,False
2015-02-21,2015,1,2,21,Saturday,True
2015-02-22,2015,1,2,22,Sunday,True
2015-02-23,2015,1,2,23,Monday,False
2015-02-24,2015,1,2,24,Tuesday,False
2015-02-27,2015,1,2,27,Friday,False
2015-03-01,2015,1,3,1,Sunday,True
2015-03-02,2015,1,3,2,Monday,False
2015-03-03,2015,1,3,3,Tuesday,False
2015-03-04,2015,1,3,4,Wednesday,False
2015-03-05,2015,1,3,5,Thursday,False
2015-03-07,2015,1,3,7,Saturday,True
2015-03-10,2015,1,3,10,Tuesday,False
