order_id,order_date,ship_date,ship_mode,customer_id,product_id,location_id,sales,quantity,discount,profit
CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,FUR-BO-10001798,1,261.96,2,0.0,41.9136
CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,FUR-CH-10000454,1,731.94,3,0.0,219.582
CA-2017-138688,2017-06-12,2017-06-16,Second Class,DV-13045,OFF-LA-10000240,2,14.62,2,0.0,6.8714
US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,FUR-TA-10000577,3,957.5775,5,0.45,-383.031
US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,OFF-ST-10000760,3,22.368,2,0.2,2.5164
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,FUR-FU-10001487,2,48.86,7,0.0,14.1694
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,OFF-AR-10002833,2,7.28,4,0.0,1.9656
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,TEC-PH-10002275,2,907.152,6,0.2,90.7152
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,OFF-BI-10003910,2,18.504,3,0.2,5.7825
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,OFF-AP-10002892,2,114.9,5,0.0,34.47
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,FUR-TA-10001539,2,1706.184,9,0.2,85.3092
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,TEC-PH-10002033,2,911.424,4,0.2,68.3568
CA-2018-114412,2018-04-15,2018-04-20,Standard Class,AA-10480,OFF-PA-10002365,4,15.552,3,0.2,5.4432
CA-2017-161389,2017-12-05,2017-12-10,Standard Class,IM-15070,OFF-BI-10003656,5,407.976,3,0.2,132.5922
US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,OFF-AP-10002311,6,68.81,5,0.8,-123.858
US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,OFF-BI-10000756,6,2.544,3,0.8,-3.816
